t = 0.00000000e+00
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  5.00000000e+00   3.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00

t = 2.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  2.00000000e-01   9.80066578e-01  9.80066578e-01   0.00000000e+00
  3.00000000e+00   1.00000000e+00  2.00000000e-01   9.80066578e-01  9.80066578e-01   0.00000000e+00
  5.00000000e+00   1.00000000e+00  2.00000000e-01   9.80066578e-01  9.80066578e-01   0.00000000e+00
  1.00000000e+00   3.00000000e+00  2.00000000e-01   9.80066578e-01  9.80066578e-01   0.00000000e+00
  3.00000000e+00   3.00000000e+00  2.00000000e-01   9.80066578e-01  9.80066578e-01   0.00000000e+00
  5.00000000e+00   3.00000000e+00  2.00000000e-01   9.80066578e-01  9.80066578e-01   0.00000000e+00
  1.00000000e+00   5.00000000e+00  2.00000000e-01   9.80066578e-01  9.80066578e-01   0.00000000e+00
  3.00000000e+00   5.00000000e+00  2.00000000e-01   9.80066578e-01  9.80066578e-01   0.00000000e+00
  5.00000000e+00   5.00000000e+00  2.00000000e-01   9.80066578e-01  9.80066578e-01   0.00000000e+00

t = 4.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  4.00000000e-01   9.21060994e-01  9.21060994e-01   0.00000000e+00
  3.00000000e+00   1.00000000e+00  4.00000000e-01   9.21060994e-01  9.21060994e-01   0.00000000e+00
  5.00000000e+00   1.00000000e+00  4.00000000e-01   9.21060994e-01  9.21060994e-01   0.00000000e+00
  1.00000000e+00   3.00000000e+00  4.00000000e-01   9.21060994e-01  9.21060994e-01   0.00000000e+00
  3.00000000e+00   3.00000000e+00  4.00000000e-01   9.21227575e-01  9.21060994e-01   1.66581321e-04
  5.00000000e+00   3.00000000e+00  4.00000000e-01   9.21060994e-01  9.21060994e-01   0.00000000e+00
  1.00000000e+00   5.00000000e+00  4.00000000e-01   9.21060994e-01  9.21060994e-01   0.00000000e+00
  3.00000000e+00   5.00000000e+00  4.00000000e-01   9.21060994e-01  9.21060994e-01   0.00000000e+00
  5.00000000e+00   5.00000000e+00  4.00000000e-01   9.21060994e-01  9.21060994e-01   0.00000000e+00

t = 6.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  6.00000000e-01   8.25335615e-01  8.25335615e-01   0.00000000e+00
  3.00000000e+00   1.00000000e+00  6.00000000e-01   8.25335615e-01  8.25335615e-01   0.00000000e+00
  5.00000000e+00   1.00000000e+00  6.00000000e-01   8.25335615e-01  8.25335615e-01   0.00000000e+00
  1.00000000e+00   3.00000000e+00  6.00000000e-01   8.25335615e-01  8.25335615e-01   0.00000000e+00
  3.00000000e+00   3.00000000e+00  6.00000000e-01   8.25670644e-01  8.25335615e-01   3.35028699e-04
  5.00000000e+00   3.00000000e+00  6.00000000e-01   8.25335615e-01  8.25335615e-01   0.00000000e+00
  1.00000000e+00   5.00000000e+00  6.00000000e-01   8.25335615e-01  8.25335615e-01   0.00000000e+00
  3.00000000e+00   5.00000000e+00  6.00000000e-01   8.25335615e-01  8.25335615e-01   0.00000000e+00
  5.00000000e+00   5.00000000e+00  6.00000000e-01   8.25335615e-01  8.25335615e-01   0.00000000e+00

t = 8.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  8.00000000e-01   6.96706709e-01  6.96706709e-01   0.00000000e+00
  3.00000000e+00   1.00000000e+00  8.00000000e-01   6.96706709e-01  6.96706709e-01   0.00000000e+00
  5.00000000e+00   1.00000000e+00  8.00000000e-01   6.96706709e-01  6.96706709e-01   0.00000000e+00
  1.00000000e+00   3.00000000e+00  8.00000000e-01   6.96706709e-01  6.96706709e-01   0.00000000e+00
  3.00000000e+00   3.00000000e+00  8.00000000e-01   6.97188439e-01  6.96706709e-01   4.81730123e-04
  5.00000000e+00   3.00000000e+00  8.00000000e-01   6.96706709e-01  6.96706709e-01   0.00000000e+00
  1.00000000e+00   5.00000000e+00  8.00000000e-01   6.96706709e-01  6.96706709e-01   0.00000000e+00
  3.00000000e+00   5.00000000e+00  8.00000000e-01   6.96706709e-01  6.96706709e-01   0.00000000e+00
  5.00000000e+00   5.00000000e+00  8.00000000e-01   6.96706709e-01  6.96706709e-01   0.00000000e+00

t = 1.00000000e+00
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  1.00000000e+00   5.40302306e-01  5.40302306e-01   0.00000000e+00
  3.00000000e+00   1.00000000e+00  1.00000000e+00   5.40302306e-01  5.40302306e-01   0.00000000e+00
  5.00000000e+00   1.00000000e+00  1.00000000e+00   5.40302306e-01  5.40302306e-01   0.00000000e+00
  1.00000000e+00   3.00000000e+00  1.00000000e+00   5.40302306e-01  5.40302306e-01   0.00000000e+00
  3.00000000e+00   3.00000000e+00  1.00000000e+00   5.40908870e-01  5.40302306e-01   6.06564158e-04
  5.00000000e+00   3.00000000e+00  1.00000000e+00   5.40302306e-01  5.40302306e-01   0.00000000e+00
  1.00000000e+00   5.00000000e+00  1.00000000e+00   5.40302306e-01  5.40302306e-01   0.00000000e+00
  3.00000000e+00   5.00000000e+00  1.00000000e+00   5.40302306e-01  5.40302306e-01   0.00000000e+00
  5.00000000e+00   5.00000000e+00  1.00000000e+00   5.40302306e-01  5.40302306e-01   0.00000000e+00

