t = 0.00000000e+00
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  0.00000000e+00   3.00000000e+00  3.00000000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  0.00000000e+00   3.00000000e+00  3.00000000e+00   0.00000000e+00
  5.00000000e+00   3.00000000e+00  0.00000000e+00   3.00000000e+00  3.00000000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  0.00000000e+00   5.00000000e+00  5.00000000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  0.00000000e+00   5.00000000e+00  5.00000000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  0.00000000e+00   5.00000000e+00  5.00000000e+00   0.00000000e+00

t = 1.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  1.00000000e-01   1.01000000e+00  1.01000000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  1.00000000e-01   1.01000000e+00  1.01000000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  1.00000000e-01   1.01000000e+00  1.01000000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  1.00000000e-01   3.01000000e+00  3.01000000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  1.00000000e-01   3.01000000e+00  3.01000000e+00   0.00000000e+00
  5.00000000e+00   3.00000000e+00  1.00000000e-01   3.01000000e+00  3.01000000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  1.00000000e-01   5.01000000e+00  5.01000000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  1.00000000e-01   5.01000000e+00  5.01000000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  1.00000000e-01   5.01000000e+00  5.01000000e+00   0.00000000e+00

t = 2.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  2.00000000e-01   1.04000000e+00  1.04000000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  2.00000000e-01   1.04000000e+00  1.04000000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  2.00000000e-01   1.04000000e+00  1.04000000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  2.00000000e-01   3.04000000e+00  3.04000000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  2.00000000e-01   3.04000000e+00  3.04000000e+00   0.00000000e+00
  5.00000000e+00   3.00000000e+00  2.00000000e-01   3.04000000e+00  3.04000000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  2.00000000e-01   5.04000000e+00  5.04000000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  2.00000000e-01   5.04000000e+00  5.04000000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  2.00000000e-01   5.04000000e+00  5.04000000e+00   0.00000000e+00

t = 3.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  3.00000000e-01   1.09000000e+00  1.09000000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  3.00000000e-01   1.09000000e+00  1.09000000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  3.00000000e-01   1.09000000e+00  1.09000000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  3.00000000e-01   3.09000000e+00  3.09000000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  3.00000000e-01   3.09000000e+00  3.09000000e+00   8.88178420e-16
  5.00000000e+00   3.00000000e+00  3.00000000e-01   3.09000000e+00  3.09000000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  3.00000000e-01   5.09000000e+00  5.09000000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  3.00000000e-01   5.09000000e+00  5.09000000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  3.00000000e-01   5.09000000e+00  5.09000000e+00   0.00000000e+00

t = 4.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  4.00000000e-01   1.16000000e+00  1.16000000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  4.00000000e-01   1.16000000e+00  1.16000000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  4.00000000e-01   1.16000000e+00  1.16000000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  4.00000000e-01   3.16000000e+00  3.16000000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  4.00000000e-01   3.16000000e+00  3.16000000e+00   8.88178420e-16
  5.00000000e+00   3.00000000e+00  4.00000000e-01   3.16000000e+00  3.16000000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  4.00000000e-01   5.16000000e+00  5.16000000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  4.00000000e-01   5.16000000e+00  5.16000000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  4.00000000e-01   5.16000000e+00  5.16000000e+00   0.00000000e+00

t = 5.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  5.00000000e-01   1.25000000e+00  1.25000000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  5.00000000e-01   1.25000000e+00  1.25000000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  5.00000000e-01   1.25000000e+00  1.25000000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  5.00000000e-01   3.25000000e+00  3.25000000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  5.00000000e-01   3.25000000e+00  3.25000000e+00   8.88178420e-16
  5.00000000e+00   3.00000000e+00  5.00000000e-01   3.25000000e+00  3.25000000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  5.00000000e-01   5.25000000e+00  5.25000000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  5.00000000e-01   5.25000000e+00  5.25000000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  5.00000000e-01   5.25000000e+00  5.25000000e+00   0.00000000e+00

t = 6.00000000e-01
       r                 z               t               u               u*              |u-u*|
