t = 0.00000000e+00
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  0.00000000e+00   3.00000000e+00  3.00000000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  0.00000000e+00   3.00000000e+00  3.00000000e+00   0.00000000e+00
  5.00000000e+00   3.00000000e+00  0.00000000e+00   3.00000000e+00  3.00000000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  0.00000000e+00   5.00000000e+00  5.00000000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  0.00000000e+00   5.00000000e+00  5.00000000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  0.00000000e+00   5.00000000e+00  5.00000000e+00   0.00000000e+00

t = 5.00000000e-02
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  5.00000000e-02   1.00000625e+00  1.00000625e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  5.00000000e-02   1.00000625e+00  1.00000625e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  5.00000000e-02   1.00000625e+00  1.00000625e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  5.00000000e-02   3.00000625e+00  3.00000625e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  5.00000000e-02   3.00000625e+00  3.00000625e+00   0.00000000e+00
  5.00000000e+00   3.00000000e+00  5.00000000e-02   3.00000625e+00  3.00000625e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  5.00000000e-02   5.00000625e+00  5.00000625e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  5.00000000e-02   5.00000625e+00  5.00000625e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  5.00000000e-02   5.00000625e+00  5.00000625e+00   0.00000000e+00

t = 1.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  1.00000000e-01   1.00010000e+00  1.00010000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  1.00000000e-01   1.00010000e+00  1.00010000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  1.00000000e-01   1.00010000e+00  1.00010000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  1.00000000e-01   3.00010000e+00  3.00010000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  1.00000000e-01   3.00014032e+00  3.00010000e+00   4.03225806e-05
  5.00000000e+00   3.00000000e+00  1.00000000e-01   3.00010000e+00  3.00010000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  1.00000000e-01   5.00010000e+00  5.00010000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  1.00000000e-01   5.00010000e+00  5.00010000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  1.00000000e-01   5.00010000e+00  5.00010000e+00   0.00000000e+00

t = 1.50000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  1.50000000e-01   1.00050625e+00  1.00050625e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  1.50000000e-01   1.00050625e+00  1.00050625e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  1.50000000e-01   1.00050625e+00  1.00050625e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  1.50000000e-01   3.00050625e+00  3.00050625e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  1.50000000e-01   3.00060485e+00  3.00050625e+00   9.85952133e-05
  5.00000000e+00   3.00000000e+00  1.50000000e-01   3.00050625e+00  3.00050625e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  1.50000000e-01   5.00050625e+00  5.00050625e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  1.50000000e-01   5.00050625e+00  5.00050625e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  1.50000000e-01   5.00050625e+00  5.00050625e+00   0.00000000e+00

t = 2.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  2.00000000e-01   1.00160000e+00  1.00160000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  2.00000000e-01   1.00160000e+00  1.00160000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  2.00000000e-01   1.00160000e+00  1.00160000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  2.00000000e-01   3.00160000e+00  3.00160000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  2.00000000e-01   3.00176194e+00  3.00160000e+00   1.61944883e-04
  5.00000000e+00   3.00000000e+00  2.00000000e-01   3.00160000e+00  3.00160000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  2.00000000e-01   5.00160000e+00  5.00160000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  2.00000000e-01   5.00160000e+00  5.00160000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  2.00000000e-01   5.00160000e+00  5.00160000e+00   0.00000000e+00

t = 2.50000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  2.50000000e-01   1.00390625e+00  1.00390625e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  2.50000000e-01   1.00390625e+00  1.00390625e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  2.50000000e-01   1.00390625e+00  1.00390625e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  2.50000000e-01   3.00390625e+00  3.00390625e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  2.50000000e-01   3.00413192e+00  3.00390625e+00   2.25674890e-04
  5.00000000e+00   3.00000000e+00  2.50000000e-01   3.00390625e+00  3.00390625e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  2.50000000e-01   5.00390625e+00  5.00390625e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  2.50000000e-01   5.00390625e+00  5.00390625e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  2.50000000e-01   5.00390625e+00  5.00390625e+00   0.00000000e+00

t = 3.00000000e-01
       r                 z               t               u               u*              |u-u*|
